rating,title,text,date,username,thumbs_up
1,Support terrible,Support is terrible. No response for 2 weeks,2025-12-29,Mohit_R,142
5,Amazing,Amazing features and smooth user experience,2025-12-28,Riya_K,22
2,Trade failed,Trade execution failed multiple times today,2025-12-27,Siddharth_V,47
4,Good enough,Good enough for basic investing needs,2025-12-26,Pallavi_J,14
3,UI update needed,UI needs update. Looks outdated now,2025-12-25,Karthik_M,31
1,Money missing,Money missing from wallet. This is serious,2025-12-24,Deepika_S,95
5,Excellent platform,Excellent platform for long term investing,2025-12-23,Arun_P,26
2,Glitchy,Too glitchy after recent update. Fix it ASAP,2025-12-22,Madhavi_N,53
4,Mostly good,Mostly good but customer service needs work,2025-12-21,Praveen_D,19
3,Decent app,Decent app but competitors have better features,2025-12-20,Jyoti_R,28
1,Uninstalling,Uninstalling due to constant errors and crashes,2025-12-19,Rakesh_M,118
5,Top notch,Top notch app for mutual fund investments,2025-12-18,Shraddha_K,23
2,Bank link broken,Bank account linking not working properly,2025-12-17,Vikas_L,46
4,Worth trying,Worth trying but has room for improvement,2025-12-16,Archana_B,16
3,So-so,So-so experience. Expected more features,2025-12-15,Naveen_S,34
1,Disaster,Complete disaster after iOS update. Can't open,2025-12-14,Sunita_V,103
5,Love the app,Love the app! Makes investing so simple,2025-12-13,Ashish_G,21
2,Chart issues,Charts not loading. Technical problems persist,2025-12-12,Poornima_T,40
4,Good start,Good starting point for new investors,2025-12-11,Sunil_J,18
3,Needs polish,Needs more polish. Some rough edges visible,2025-12-10,Kaveri_M,27
1,Refund pending,Refund pending for over a month now. Scam,2025-12-09,Dinesh_R,167
5,Superb,Superb app with great educational content too,2025-12-08,Vidya_N,25
2,Error messages,Constant error messages. Very frustrating experience,2025-12-07,Bharat_K,52
4,Clean interface,Clean interface but needs faster execution,2025-12-06,Lata_P,15
3,Could be better,Could be better. Average at best,2025-12-05,Mohan_S,30
1,Zero stars,Would give zero stars if possible. Horrible,2025-12-04,Usha_L,189
5,Brilliant,Brilliant for tracking all my investments in one place,2025-12-03,Pankaj_D,24
2,Signup issues,Can't complete signup. Form keeps erroring out,2025-12-02,Geeta_M,48
4,Happy user,Happy user but wish there was web version too,2025-12-01,Tarun_R,17
3,Works okay,Works okay most of the time. Not great not terrible,2025-11-30,Shilpa_V,32
1,Avoid this,Avoid this app. Too many problems and no support,2025-11-29,Yogesh_K,145
5,Outstanding,Outstanding app for tracking market trends,2025-11-28,Namita_J,23
2,Withdrawal stuck,Withdrawal request stuck for days. Need fix,2025-11-27,Anil_B,55
4,Satisfied,Satisfied with the service but support is slow,2025-11-26,Renu_S,16
3,Nothing special,Nothing special. Just another trading app,2025-11-25,Deepak_G,29
1,Security concerns,Have serious security concerns about this app,2025-11-24,Anupama_T,127
5,Five stars,Five stars for ease of use and reliability,2025-11-23,Sudhir_M,22
2,Update broke it,Latest update broke many features. Roll back please,2025-11-22,Shobha_N,49
4,Quite good,Quite good for portfolio management,2025-11-21,Girish_P,15
3,Fair enough,Fair enough but lacks advanced trading tools,2025-11-20,Rekha_D,31
1,Total waste,Total waste of time. Don't download,2025-11-19,Kishore_L,172
